Top15 Coins,2013 Start Date,2013 Start Price,2013 End Date,2013 End Price,2013 Delta,2013 Slope% Change,2014 Start Date,2014 Start Price,2014 End Date,2014 End Price,2014 Delta,2014 Slope% Change,2015 Start Date,2015 Start Price,2015 End Date,2015 End Price,2015 Delta,2015 Slope% Change,2016 Start Date,2016 Start Price,2016 End Date,2016 End Price,2016 Delta,2016 Slope% Change,2017 Start Date,2017 Start Price,2017 End Date,2017 End Price,2017 Delta,2017 Slope% Change,2018 Start Date,2018 Start Price,2018 End Date,2018 End Price,2018 Delta,2018 Slope% Change
ADA,,,,,   , ,,,,,   , ,,,,,   , ,,,,,   , ,10/1/17,$0.02 ,12/31/17,$0.72 ,$0.70 ,2782%,1/1/18,$0.73 ,1/4/18,$1.11 ,$0.38 ,52%
BCC,,,,,   , ,,,,,   , ,,,,,   , ,,,,,   , ,1/20/17,$0.84 ,12/31/17,$418.96 ,$418.12 ,49660%,1/1/18,$385.50 ,1/4/18,$428.53 ,$43.03 ,11%
BTC,4/28/13,$134.21 ,12/31/13,754.01,$619.80 ,462%,1/1/14,$771.40 ,12/31/14,$320.19 ,($451.21),-58%,1/1/15,$314.25 ,12/31/15,$430.57 ,$116.32 ,37%,1/1/16,$434.33 ,12/31/16,$963.74 ,$529.41 ,122%,1/1/17,$998.33 ,12/31/17,"$14,156.40 ","$13,158.07 ",1318%,1/1/18,"$13,657.20 ",1/4/18,"$15,599.20 ","$1,942.00 ",14%
BTG, ,   , , ,   , ,1/20/14,$3.00 ,12/20/14,$2.40 ,($0.60),-20%, ,   , ,   ,   , , ,   , ,   ,   , ,12/11/17,$254.45 ,12/22/17,$305.73 ,$51.28 ,20%,,,,,   , 
DASH,,,,,   , ,1/20/14,$0.94 ,12/31/14,$1.97 ,$1.03 ,110%,1/1/15,$1.94 ,12/31/15,$3.27 ,$1.33 ,69%,1/1/16,$3.38 ,12/31/16,$11.21 ,$7.83 ,232%,1/1/17,$11.23 ,12/31/17,"$1,051.68 ","$1,040.45 ",9265%,1/1/18,"$1,053.98 ",1/4/18,"$1,229.79 ",$175.81 ,17%
EOS,,,,,   , ,,,,,    , ,,,,,   , ,,,,,   , ,7/1/17,$1.01 ,12/31/17,$8.77 ,$7.76 ,768%,1/1/18,$8.84 ,1/4/18,$11.28 ,$2.44 ,28%
ETC,,,,,   , ,,,,,   , ,,,,,   , ,7/24/16,$0.93 ,12/31/16,$1.41 ,$0.48 ,52%,1/1/17,$1.40 ,12/31/17,$28.00 ,$26.60 ,1900%,1/1/18,$34.17 ,1/4/18,$36.32 ,$2.15 ,6%
ETH,,,,,   , ,,,,,   , ,8/7/15,$2.77 ,12/31/15,$0.93 ,($1.84),-66%,1/1/16,$0.95 ,12/31/16,$7.97 ,$7.02 ,741%,1/1/17,$8.17 ,12/31/17,$756.73 ,$748.56 ,9162%,1/1/18,$772.64 ,1/4/18,$980.92 ,$208.28 ,27%
LTC,4/28/13,$4.35 ,12/31/13,24.35,$20.00 ,460%,1/1/14,$24.62 ,12/31/14,$2.72 ,($21.90),-89%,1/1/15,$2.70 ,12/31/15,$3.48 ,$0.78 ,29%,1/1/16,$3.51 ,12/31/16,$4.33 ,$0.82 ,23%,1/1/17,$4.51 ,12/31/17,$232.10 ,$227.59 ,5046%,1/1/18,$229.03 ,1/4/18,$241.37 ,$12.34 ,5%
MIOTA,,,,,   , ,,,,,   , ,,,,,   , ,,,,,   , ,6/13/17,$0.59 ,12/31/17,$3.55 ,$2.96 ,501%,1/1/18,$3.97 ,1/4/18,$4.08 ,$0.11 ,3%
NEO,,,,,   , ,,,,,    , ,,,,,   , ,9/9/16,$0.56 ,12/31/16,$0.14 ,($0.41),-74%,1/1/17,$0.14 ,12/31/17,$75.96 ,$75.82 ,53453%,1/1/18,$78.82 ,1/4/18,$99.11 ,$20.29 ,26%
XEM,,,,,   , ,,,,,   , ,4/1/15,$0.00 ,12/31/15,$0.00 ,$0.00 ,-38%,1/1/16,$0.00 ,12/31/16,$0.00 ,$0.00 ,2169%,1/1/17,$0.00 ,12/31/17,$1.03 ,$1.03 ,29842%,1/1/18,$1.04 ,1/4/18,$1.64 ,$0.60 ,58%
XLM,,,,,   , ,8/5/14,$0.00 ,12/31/14,$0.01 ,$0.00 ,126%,1/1/15,$0.01 ,12/31/15,$0.00 ,$0.00 ,-68%,1/1/16,$0.00 ,12/31/16,$0.00 ,$0.00 ,41%,1/1/17,$0.00 ,12/31/17,$0.36 ,$0.36 ,14441%,1/1/18,$0.48 ,1/4/18,$0.72 ,$0.24 ,51%
XMR,,,,,   , ,5/21/14,$1.60 ,12/31/14,$0.43 ,($1.17),-73%,1/1/15,$0.47 ,12/31/15,$0.47 ,$0.01 ,1%,1/1/16,$0.50 ,12/31/16,$13.78 ,$13.28 ,2668%,1/1/17,$13.97 ,12/31/17,$349.03 ,$335.06 ,2398%,1/1/18,$358.99 ,1/4/18,$403.05 ,$44.06 ,12%
XRP,8/4/13,$0.01 ,12/31/13,0.02733,$0.02 ,365%,1/1/14,$0.03 ,12/31/14,$0.02 ,$0.00 ,-9%,1/1/15,$0.02 ,12/31/15,$0.01 ,($0.02),-75%,1/1/16,$0.01 ,12/31/16,$0.01 ,$0.00 ,8%,1/1/17,$0.01 ,12/31/17,$2.30 ,$2.29 ,36018%,1/1/18,$2.39 ,1/4/18,$3.20 ,$0.81 ,34%